locationinc,year,battledeaths
India,2012,416
India,2014,442
Sudan,2011,1404
South Sudan,2013,926
South Sudan,2011,216
South Sudan,2012,137
South Sudan,2014,1667
South Sudan,2015,493
South Sudan,2016,735
South Sudan,2017,484
South Sudan,2018,526
South Sudan,2019,110
South Sudan,2020,58
South Sudan,2021,188
Libya,2011,3762
Libya,2014,274
Libya,2015,274
Libya,2017,404
Libya,2019,1631
Libya,2020,668
Libya,2013,31
Mali,2012,218
Mali,2013,836
Mali,2015,172
Mali,2016,96
Mali,2009,126
Mali,2014,189
Mali,2017,359
Mali,2018,521
Mali,2019,603
Mali,2020,580
Mali,2021,726
Mali,2022,1436
China,2008,36
Bangladesh,2005,62
Bangladesh,2006,57
Ethiopia,1991,12225
Myanmar (Burma),1991,777
Myanmar (Burma),1995,317
Myanmar (Burma),2000,226
Myanmar (Burma),2001,215
Myanmar (Burma),2005,142
Myanmar (Burma),2006,244
Myanmar (Burma),2007,348
Malaysia,2013,70
Syria,2012,50486
Syria,2013,72006
Syria,2014,65333
Syria,2015,50174
Ukraine,2014,4887
Ukraine,2015,1786
Ukraine,2016,254
Ukraine,2017,415
Ukraine,2018,243
Ukraine,2019,311
Ukraine,2020,196
Ukraine,2021,208
Ukraine,2022,29
Russia (Soviet Union),2015,85
Russia (Soviet Union),2016,69
Russia (Soviet Union),2017,53
Russia (Soviet Union),2018,30
Russia (Soviet Union),2019,26
Russia (Soviet Union),2020,30
Syria,2016,43650
Syria,2017,24123
Syria,2018,13072
Syria,2019,7379
Syria,2020,4589
Syria,2021,1354
Syria,2022,877
Afghanistan,2015,17260
Afghanistan,2016,17916
Afghanistan,2017,18974
Afghanistan,2018,25679
Afghanistan,2019,29903
Afghanistan,2020,20475
Afghanistan,2021,35593
Afghanistan,2022,852
Cameroon,2015,995
Cameroon,2016,221
Cameroon,2019,693
Cameroon,2021,581
Niger,2015,171
Niger,2016,274
Niger,2017,229
Niger,2018,74
Niger,2019,283
Niger,2020,512
Niger,2021,456
Niger,2022,488
Chad,2015,272
Chad,2017,57
Chad,2018,150
Chad,2019,144
Chad,2020,196
Chad,2021,486
Chad,2022,45
Nigeria,2015,4766
Nigeria,2016,2451
Nigeria,2017,1879
Nigeria,2018,1171
Nigeria,2019,1341
Nigeria,2020,2024
Nigeria,2021,2002
Nigeria,2022,1550
Yemen (unified),2015,7113
Yemen (unified),2017,3071
Yemen (unified),2020,6288
Kenya,2015,42
Kenya,2016,49
Kenya,2017,85
Kenya,2018,69
Kenya,2019,61
Kenya,2020,94
Kenya,2021,78
Kenya,2022,72
Egypt,2015,767
Egypt,2016,355
Egypt,2017,497
Egypt,2018,680
Egypt,2019,637
Egypt,2020,527
Egypt,2021,112
Egypt,2022,231
India,2015,472
India,2016,597
India,2017,606
India,2018,722
Bangladesh,2016,41
Bangladesh,2017,47
Lebanon,2014,126
Lebanon,2015,76
Lebanon,2017,70
Libya,2016,1678
Libya,2018,44
Algeria,2015,110
Burkina Faso (Upper Volta),2019,349
Burkina Faso (Upper Volta),2020,512
Burkina Faso (Upper Volta),2021,991
Burkina Faso (Upper Volta),2022,2047
Jordan,2016,34
Turkey (Ottoman Empire),2015,933
Turkey (Ottoman Empire),2016,2602
Turkey (Ottoman Empire),2017,1457
Pakistan,2016,688
Pakistan,2017,586
Pakistan,2018,198
Pakistan,2019,214
Pakistan,2021,414
Pakistan,2022,677
Somalia,2018,2204
Cameroon,2017,98
Cameroon,2018,751
Cameroon,2020,429
Cameroon,2022,406
Somalia,2019,1943
Somalia,2020,1942
Somalia,2021,2172
Iran (Persia),2017,27
Philippines,2016,550
Philippines,2017,1621
Philippines,2018,420
Philippines,2019,309
Philippines,2020,348
Philippines,2021,266
Philippines,2022,193
Tunisia,2016,71
"Congo, Democratic Republic of (Zaire)",2019,347
"Congo, Democratic Republic of (Zaire)",2020,985
"Congo, Democratic Republic of (Zaire)",2021,1018
"Congo, Democratic Republic of (Zaire)",2022,1120
Mozambique,2019,291
Mozambique,2020,937
Mozambique,2021,715
Mozambique,2022,373
Ethiopia,2019,67
Tanzania/Tanganyika,2020,25
Benin,2022,30
Central African Republic,2015,27
Uganda,2022,25
Iran (Persia),1990,31
Iran (Persia),1993,186
Iran (Persia),1996,27
Iran (Persia),2016,30
Iran (Persia),2018,72
Philippines,1989,937
Philippines,1990,1316
Philippines,1991,1514
Philippines,1992,430
Philippines,1993,253
Philippines,1994,265
Philippines,1995,152
Philippines,1997,302
Philippines,1999,199
Philippines,2000,1567
Philippines,2001,817
Philippines,2002,662
Philippines,2003,1051
Philippines,2004,339
Philippines,2005,470
Philippines,2006,360
Philippines,2007,439
Philippines,2008,481
Philippines,2009,894
Philippines,2010,332
Philippines,2011,350
Philippines,2012,295
Philippines,2013,514
Philippines,2014,470
Philippines,2015,572
Paraguay,1989,150
Myanmar (Burma),1989,1194
Myanmar (Burma),1990,555
Myanmar (Burma),1992,1617
Myanmar (Burma),1994,685
Myanmar (Burma),1997,323
Myanmar (Burma),1998,61
Myanmar (Burma),2002,294
Myanmar (Burma),2003,38
Myanmar (Burma),2004,27
Myanmar (Burma),2008,64
Myanmar (Burma),2009,195
Myanmar (Burma),2010,157
Myanmar (Burma),2011,713
Myanmar (Burma),2021,1031
Myanmar (Burma),2022,2038
Myanmar (Burma),2013,278
Myanmar (Burma),2014,187
Myanmar (Burma),2015,634
Myanmar (Burma),2017,517
Myanmar (Burma),2018,99
Myanmar (Burma),2019,558
Myanmar (Burma),2020,161
Myanmar (Burma),2016,118
Myanmar (Burma),1996,229
India,2000,2725
India,1991,3081
India,1992,3053
India,1993,1503
India,1994,1172
India,1996,803
India,1997,872
India,1998,786
India,1999,1139
India,2001,1199
India,2002,1820
India,2003,1638
India,2004,1613
India,2005,1382
India,2006,1373
India,2007,1086
India,2008,1083
India,2009,1115
India,2010,1028
India,2011,439
India,2013,389
India,2019,483
India,2020,464
India,2021,431
India,2022,310
Yemen (unified),2014,1780
Yemen (unified),2016,3066
Yemen (unified),2018,4528
Yemen (unified),2019,2588
Yemen (unified),2021,23356
Yemen (unified),2022,2899
Yemen (unified),2009,94
Yemen (unified),2010,175
Yemen (unified),2011,1140
Yemen (unified),2012,2331
Yemen (unified),2013,582
Myanmar (Burma),2012,702
Guatemala,1989,82
Guatemala,1990,83
Guatemala,1991,72
Guatemala,1992,67
Guatemala,1993,58
Guatemala,1994,37
Guatemala,1995,27
Israel,1989,54
Israel,2001,244
Israel,1990,71
Israel,1991,56
Israel,1992,120
Israel,2000,77
Israel,2002,613
Israel,2005,123
Israel,2006,1205
Israel,2007,276
Israel,2022,84
Israel,1993,171
Israel,1994,126
Israel,2003,308
Israel,2004,386
Israel,2008,668
Israel,2009,696
Israel,2011,78
Israel,2012,235
Israel,2014,2378
Israel,2018,53
Israel,2021,269
Israel,1995,108
Israel,2010,27
Israel,2019,50
Israel,1996,161
India,1995,836
Iraq,2004,4094
Iraq,2007,2212
Iraq,2008,2112
Iraq,1991,1484
Iraq,1992,306
Iraq,1993,75
Iraq,1994,34
Iraq,1995,587
Iraq,1996,398
Iraq,2005,2608
Iraq,2006,3923
Iraq,2011,864
Iraq,2009,1036
Iraq,2010,989
Iraq,2012,565
Iraq,2013,1870
Iraq,2014,13761
Iraq,2015,10981
Iraq,2016,9775
Iraq,2017,10025
Iraq,2018,866
Iraq,2019,498
Iraq,2020,671
Iraq,2021,707
Iraq,2022,335
Lebanon,1989,711
Lebanon,1990,700
Laos,1989,30
Laos,1990,249
Myanmar (Burma),1993,130
Myanmar (Burma),1999,25
"Congo, Democratic Republic of (Zaire)",2013,1474
"Congo, Democratic Republic of (Zaire)",2014,146
Ethiopia,2022,101085
Ethiopia,2020,1624
Ethiopia,2021,9069
Ethiopia,1989,24358
Ethiopia,1990,49698
Nepal,1996,44
Nepal,1997,40
Nepal,1998,250
Nepal,1999,156
Nepal,2000,268
Nepal,2001,429
Nepal,2002,3946
Nepal,2003,1341
Nepal,2004,1880
Nepal,2005,1104
Nepal,2006,457
Iraq,1989,50
Iraq,1990,94
Venezuela,1992,144
"Congo, Democratic Republic of (Zaire)",2011,41
"Congo, Democratic Republic of (Zaire)",2012,734
"Congo, Democratic Republic of (Zaire)",2017,3395
"Congo, Democratic Republic of (Zaire)",2018,439
"Congo, Democratic Republic of (Zaire)",2016,506
"Congo, Democratic Republic of (Zaire)",2005,34
"Congo, Democratic Republic of (Zaire)",1996,1288
"Congo, Democratic Republic of (Zaire)",1997,4465
"Congo, Democratic Republic of (Zaire)",1998,3268
"Congo, Democratic Republic of (Zaire)",1999,2953
"Congo, Democratic Republic of (Zaire)",2000,1294
"Congo, Democratic Republic of (Zaire)",2001,454
"Congo, Democratic Republic of (Zaire)",2006,182
"Congo, Democratic Republic of (Zaire)",2007,632
"Congo, Democratic Republic of (Zaire)",2008,736
Burundi,2020,139
Burundi,2022,234
Burundi,2015,185
Burundi,2014,56
Burundi,2019,61
Burundi,2021,26
Burundi,1991,272
Burundi,1992,61
Burundi,1994,56
Burundi,1995,254
Burundi,1996,531
Burundi,1997,639
Burundi,1998,621
Burundi,1999,524
Burundi,2000,1347
Burundi,2001,1182
Burundi,2002,1127
Burundi,2003,985
Burundi,2004,387
Burundi,2005,286
Burundi,2006,141
Burundi,2008,201
Chad,1989,315
Chad,1990,1352
Chad,1991,68
Chad,1992,899
Chad,1993,120
Chad,1997,97
Chad,1994,156
Chad,1998,34
Chad,1999,394
Chad,2000,989
Chad,2001,226
Chad,2002,294
Chad,2003,37
Chad,2005,100
Chad,2006,1250
Chad,2007,69
Chad,2008,991
Chad,2009,131
Chad,2010,42
Colombia,2000,1870
Colombia,2002,3379
Colombia,2004,1234
Colombia,2018,131
Colombia,2019,115
Colombia,2020,28
Colombia,2021,113
Colombia,2022,73
Colombia,1989,238
Colombia,1990,501
Colombia,1991,725
Colombia,1992,1479
Colombia,1993,182
Colombia,1994,1123
Colombia,1995,823
Colombia,1996,1192
Colombia,1997,560
Colombia,1998,939
Colombia,1999,1374
Colombia,2001,1864
Colombia,2003,1597
Colombia,2005,1389
Colombia,2006,502
Colombia,2007,316
Colombia,2008,244
Colombia,2009,377
Colombia,2010,419
Colombia,2011,202
Colombia,2012,211
Colombia,2013,140
Colombia,2014,119
Colombia,2015,134
Colombia,2016,30
Indonesia,2018,25
Indonesia,2021,51
Indonesia,2022,46
Peru,1989,1827
Peru,1990,1099
Peru,1991,1138
Peru,1992,1036
Peru,1993,672
Peru,1994,253
Peru,1995,178
Peru,1996,80
Peru,1997,93
Peru,1998,25
Peru,1999,75
Peru,2007,32
Peru,2008,40
Peru,2009,50
Peru,2010,28
Nigeria,2009,405
Nigeria,2011,325
Nigeria,2012,811
Nigeria,2013,1629
Nigeria,2014,4780
South Africa,1989,327
Syria,2011,1203
Cambodia (Kampuchea),1997,415
Cambodia (Kampuchea),1998,246
Cambodia (Kampuchea),1989,818
Cambodia (Kampuchea),1990,274
Cambodia (Kampuchea),1991,220
Cambodia (Kampuchea),1992,118
Cambodia (Kampuchea),1993,274
Cambodia (Kampuchea),1994,464
Cambodia (Kampuchea),1995,694
Cambodia (Kampuchea),1996,788
Guinea,2000,217
Guinea,2001,432
Philippines,1996,180
Philippines,1998,93
Sudan,2015,1264
Sudan,2016,1309
Sudan,2012,1173
Sudan,2013,594
Sudan,2014,856
Sudan,2017,160
Sudan,1989,4253
Sudan,1990,4335
Sudan,1991,1317
Sudan,1992,1083
Sudan,1993,942
Sudan,1994,337
Sudan,1995,1000
Sudan,1996,2289
Sudan,1997,3709
Sudan,1998,4891
Sudan,1999,1408
Sudan,2000,2841
Sudan,2001,3408
Sudan,2002,2021
Sudan,2003,1999
Sudan,2004,3278
Sudan,2007,217
Sudan,2008,598
Sudan,2009,353
Sudan,2010,1010
Sudan,2005,161
Sudan,2006,1002
Sudan,2018,243
Sudan,2020,45
Sudan,2021,31
Sudan,2022,47
Sri Lanka (Ceylon),1989,533
Sri Lanka (Ceylon),1990,3622
Uganda,1989,1019
Uganda,1990,621
Uganda,1991,853
Uganda,1992,72
Uganda,1994,149
Uganda,1995,295
Uganda,1996,1238
Uganda,1997,888
Uganda,1998,835
Uganda,2000,388
Uganda,2001,189
Uganda,2002,1086
Uganda,2003,642
Uganda,2004,1610
Uganda,2005,695
Uganda,2006,221
Uganda,2008,53
Uganda,2009,238
Uganda,2010,120
Uganda,2011,136
Uganda,2013,100
Uganda,2014,864
Uganda,1999,355
Uganda,2007,91
Uganda,2015,197
Uganda,2016,152
Uganda,2017,237
Uganda,2018,378
Uganda,2019,165
United Kingdom,1989,38
United Kingdom,1990,44
United Kingdom,1991,26
United Kingdom,1998,29
El Salvador,1989,4924
El Salvador,1990,849
El Salvador,1991,88
Bangladesh,1989,26
Bangladesh,1990,45
Bangladesh,1991,25
Pakistan,2020,306
Pakistan,2012,2791
Pakistan,2015,2061
Pakistan,2004,43
Pakistan,2006,200
Pakistan,2007,668
Pakistan,2008,3195
Pakistan,2009,6384
Pakistan,2011,2640
Pakistan,2013,1774
Pakistan,2014,3037
Eritrea,1997,31
Eritrea,1999,25
Eritrea,2003,57
Angola,1989,2810
Angola,1990,2558
Angola,1991,516
Angola,1992,2346
Angola,1993,12054
Angola,1994,3974
Angola,1995,187
Angola,1998,1066
Angola,1999,2273
Angola,2000,1000
Angola,2001,1123
Angola,2002,521
Ethiopia,1993,36
Ethiopia,1996,236
Ethiopia,1999,733
Ethiopia,1994,75
Ethiopia,1998,50
Ethiopia,2000,50
Ethiopia,2001,50
Ethiopia,2002,50
Ethiopia,2003,50
Ethiopia,2004,50
Ethiopia,2005,83
Ethiopia,2006,50
Ethiopia,2007,177
Ethiopia,2008,50
Ethiopia,2009,515
Ethiopia,2010,151
Ethiopia,2011,50
Ethiopia,2012,50
Ethiopia,2013,77
Ethiopia,2014,25
Ethiopia,2015,50
Ethiopia,2016,50
Indonesia,1992,39
Indonesia,1997,51
Indonesia,1998,30
Indonesia,1999,213
Morocco,1989,207
Mozambique,2018,53
Mozambique,1989,1149
Mozambique,1990,1577
Mozambique,1991,1326
Mozambique,1992,309
Mozambique,2013,42
Mozambique,2014,30
Mozambique,2016,55
Afghanistan,1989,5174
Afghanistan,1990,1478
Afghanistan,1991,3302
Afghanistan,1992,4276
Afghanistan,1996,3177
Afghanistan,1993,3721
Afghanistan,1994,8937
Afghanistan,1995,5516
Afghanistan,2002,30
Afghanistan,2003,660
Afghanistan,2006,4734
Afghanistan,2008,5655
Afghanistan,2009,6390
Afghanistan,2010,7038
Afghanistan,2011,7423
Afghanistan,2013,8048
Afghanistan,2004,711
Afghanistan,2005,1628
Afghanistan,2007,6848
Afghanistan,2012,7730
Afghanistan,2014,12351
Afghanistan,1997,6396
Afghanistan,1998,6256
Afghanistan,1999,4629
Afghanistan,2000,5235
Afghanistan,2001,2328
Nicaragua,1989,526
Nicaragua,1990,39
Somalia,1989,379
Somalia,1990,2710
Somalia,1991,8005
Somalia,1992,1154
Somalia,1993,25
Somalia,1994,237
Somalia,1995,104
Somalia,1996,256
Somalia,2001,228
Somalia,2002,114
Somalia,2006,547
Somalia,2007,1546
Somalia,2008,1491
Somalia,2009,1467
Somalia,2010,2150
Somalia,2011,1938
Somalia,2012,2646
Somalia,2013,940
Somalia,2014,1153
Somalia,2015,1206
Somalia,2016,1933
Somalia,2017,1918
Somalia,2022,3034
Iran (Persia),2019,31
Iran (Persia),1991,45
Iran (Persia),1997,38
Iran (Persia),1999,28
Iran (Persia),2000,40
Iran (Persia),2001,119
Iran (Persia),2005,28
Iran (Persia),2006,57
Iran (Persia),2007,86
Iran (Persia),2008,121
Iran (Persia),2009,133
Iran (Persia),2011,242
Iran (Persia),2020,35
Iran (Persia),2021,30
Iran (Persia),2010,74
Liberia,1989,27
Liberia,1990,347
Liberia,2000,57
Liberia,2001,341
Liberia,2002,492
Liberia,2003,1787
Spain,1991,45
Tunisia,2013,29
Tunisia,2014,50
Tunisia,2015,57
India,1989,977
India,1990,2301
Sri Lanka (Ceylon),1991,6432
Sri Lanka (Ceylon),1992,4091
Sri Lanka (Ceylon),1993,2075
Sri Lanka (Ceylon),1994,657
Sri Lanka (Ceylon),1995,4755
Sri Lanka (Ceylon),1996,3868
Sri Lanka (Ceylon),1997,2880
Sri Lanka (Ceylon),1998,3762
Sri Lanka (Ceylon),1999,1882
Sri Lanka (Ceylon),2000,2525
Sri Lanka (Ceylon),2001,1144
Sri Lanka (Ceylon),2003,29
Sri Lanka (Ceylon),2005,88
Sri Lanka (Ceylon),2006,1970
Sri Lanka (Ceylon),2007,2494
Sri Lanka (Ceylon),2008,8262
Sri Lanka (Ceylon),2009,10165
Turkey (Ottoman Empire),1989,442
Turkey (Ottoman Empire),1990,526
Turkey (Ottoman Empire),1991,392
Turkey (Ottoman Empire),1992,1708
Turkey (Ottoman Empire),1993,2333
Turkey (Ottoman Empire),1994,4105
Turkey (Ottoman Empire),1995,3216
Turkey (Ottoman Empire),1996,3942
Turkey (Ottoman Empire),1997,4653
Turkey (Ottoman Empire),1998,2068
Turkey (Ottoman Empire),1999,1400
Turkey (Ottoman Empire),2000,206
Turkey (Ottoman Empire),2001,132
Turkey (Ottoman Empire),2002,54
Turkey (Ottoman Empire),2003,82
Turkey (Ottoman Empire),2004,195
Turkey (Ottoman Empire),2005,293
Turkey (Ottoman Empire),2006,225
Turkey (Ottoman Empire),2007,499
Turkey (Ottoman Empire),2008,588
Turkey (Ottoman Empire),2009,147
Turkey (Ottoman Empire),2010,355
Turkey (Ottoman Empire),2011,592
Turkey (Ottoman Empire),2012,853
Turkey (Ottoman Empire),2013,31
Turkey (Ottoman Empire),2018,894
Turkey (Ottoman Empire),2019,540
Turkey (Ottoman Empire),2020,367
Turkey (Ottoman Empire),2021,426
Turkey (Ottoman Empire),2022,575
Togo,2022,34
Burkina Faso (Upper Volta),2018,79
Comoros,1989,29
Indonesia,1990,72
Indonesia,1991,58
Indonesia,2000,286
Indonesia,2001,278
Indonesia,2002,466
Indonesia,2003,868
Indonesia,2004,935
Indonesia,2005,213
Panama,1989,77
Papua New Guinea,1990,55
Papua New Guinea,1992,35
Papua New Guinea,1993,34
Papua New Guinea,1994,26
Papua New Guinea,1995,29
Papua New Guinea,1996,78
Rumania,1989,249
Mali,1991,59
Mali,1990,457
Mali,1994,106
Mali,2007,39
Mali,2008,112
Niger,1994,50
Rwanda,2001,2044
Rwanda,2002,83
Rwanda,2009,1807
Rwanda,2010,208
Rwanda,2011,116
Rwanda,2012,83
Rwanda,2016,136
Rwanda,2019,226
Rwanda,2020,134
Rwanda,1990,1126
Rwanda,1991,153
Rwanda,1992,87
Rwanda,1993,353
Rwanda,1994,1882
Rwanda,1996,90
Rwanda,1997,1081
Rwanda,1998,1096
Rwanda,1999,315
Rwanda,2000,155
Senegal,1990,58
Senegal,1992,78
Senegal,1993,233
Senegal,1995,299
Senegal,1997,319
Senegal,1998,242
Senegal,2000,47
Senegal,2001,33
Senegal,2003,39
Senegal,2011,25
Russia (Soviet Union),1990,192
Russia (Soviet Union),1991,220
Trinidad and Tobago,1990,39
Djibouti,1991,60
Djibouti,1992,129
Djibouti,1993,33
Djibouti,1994,39
Djibouti,1999,25
Georgia,1991,52
Georgia,1992,771
Georgia,1993,1763
Haiti,1989,48
Haiti,1991,160
Haiti,2004,207
Sierra Leone,1991,552
Sierra Leone,1992,218
Sierra Leone,1993,415
Sierra Leone,1994,628
Sierra Leone,1995,1472
Sierra Leone,1996,570
Sierra Leone,1997,748
Sierra Leone,1998,3287
Sierra Leone,1999,3153
Sierra Leone,2000,382
Sierra Leone,2001,48
Yugoslavia,1991,3022
Yugoslavia,1992,153
Algeria,2012,256
Algeria,1991,34
Algeria,1992,257
Algeria,1993,800
Algeria,1994,1916
Algeria,1995,3008
Algeria,1996,1084
Algeria,1997,1403
Algeria,1998,3029
Algeria,1999,1031
Algeria,2000,947
Algeria,2001,642
Algeria,2002,539
Algeria,2003,670
Algeria,2004,451
Algeria,2005,229
Algeria,2006,255
Algeria,2007,472
Algeria,2008,339
Algeria,2009,505
Algeria,2010,236
Algeria,2011,267
Algeria,2013,147
Algeria,2014,107
Algeria,2016,86
Algeria,2017,60
Algeria,2018,33
Algeria,2020,26
Angola,2016,25
Angola,2017,25
Angola,2019,25
Angola,2020,25
Angola,2022,25
Angola,1997,51
Angola,1996,29
Angola,2003,25
Angola,2004,25
Angola,2007,25
Angola,2009,25
Azerbaijan,1991,35
Azerbaijan,1992,2167
Azerbaijan,1993,1231
Azerbaijan,1994,1507
Azerbaijan,1997,29
Azerbaijan,1998,34
Azerbaijan,2005,25
Azerbaijan,2008,30
Azerbaijan,2012,25
Azerbaijan,2014,46
Azerbaijan,2015,72
Azerbaijan,2016,141
Azerbaijan,2017,36
Azerbaijan,2020,7646
Azerbaijan,2021,40
Azerbaijan,2022,308
Bosnia-Herzegovina,1992,16882
Bosnia-Herzegovina,1993,13160
Bosnia-Herzegovina,1994,6936
Bosnia-Herzegovina,1995,8549
Croatia,1992,4034
Croatia,1993,418
Croatia,1994,86
Croatia,1995,1132
Egypt,2014,184
Egypt,1993,103
Egypt,1994,145
Egypt,1995,191
Egypt,1996,85
Egypt,1997,66
Egypt,1998,27
Georgia,2004,27
Georgia,2008,621
Moldova,1992,585
Tajikistan,1992,3355
Tajikistan,2000,46
Tajikistan,2010,98
Tajikistan,1993,1395
Tajikistan,1994,356
Tajikistan,1995,368
Tajikistan,1996,2790
Tajikistan,1998,600
Tajikistan,1997,87
Tajikistan,2011,28
Azerbaijan,1995,44
Russia (Soviet Union),1993,145
Mexico,1994,145
Mexico,1996,37
Russia (Soviet Union),1994,229
Russia (Soviet Union),1995,1754
Russia (Soviet Union),1996,2721
Russia (Soviet Union),1999,5854
Russia (Soviet Union),2000,2907
Russia (Soviet Union),2001,791
Russia (Soviet Union),2002,1289
Russia (Soviet Union),2003,480
Russia (Soviet Union),2004,1151
Russia (Soviet Union),2005,682
Russia (Soviet Union),2006,259
Russia (Soviet Union),2007,176
Yemen (unified),1994,1489
Pakistan,2010,5574
Pakistan,1990,70
Pakistan,1994,38
Pakistan,1995,52
Pakistan,1996,42
Niger,1995,34
Comoros,1997,56
Congo,1993,53
Congo,1998,3272
Congo,1997,10033
Congo,1999,626
Congo,2002,167
Congo,2016,73
Guinea-Bissau,1998,505
Guinea-Bissau,1999,199
Lesotho,1998,78
Yugoslavia,1998,1235
Yugoslavia,1999,1404
Ethiopia,1992,165
Ethiopia,1995,25
Uzbekistan,1999,67
Uzbekistan,2000,471
Uzbekistan,2004,37
Central African Republic,2013,376
Central African Republic,2014,136
Central African Republic,2017,35
Central African Republic,2018,103
Central African Republic,2019,51
Central African Republic,2020,57
Central African Republic,2021,906
Central African Republic,2022,675
Central African Republic,2001,195
Central African Republic,2002,131
Central African Republic,2006,46
Central African Republic,2012,45
Central African Republic,2009,28
Central African Republic,2010,25
Central African Republic,2011,44
Macedonia (Former Yugoslav Republic of),2001,72
United States of America,2001,1583
United States of America,2002,878
United States of America,2003,65
United States of America,2004,378
United States of America,2005,108
United States of America,2006,246
United States of America,2007,186
United States of America,2008,291
United States of America,2009,493
United States of America,2010,329
United States of America,2011,203
United States of America,2012,225
United States of America,2013,38
United States of America,2014,138
United States of America,2015,87
United States of America,2016,117
United States of America,2017,111
United States of America,2019,37
Cote D’Ivoire,2011,98
Cote D’Ivoire,2002,624
Cote D’Ivoire,2003,139
Cote D’Ivoire,2004,47
Thailand,2003,26
Thailand,2004,164
Thailand,2005,205
Thailand,2006,212
Thailand,2007,197
Thailand,2008,130
Thailand,2009,138
Thailand,2010,75
Thailand,2011,143
Thailand,2012,131
Thailand,2013,189
Thailand,2014,68
Thailand,2015,57
Thailand,2016,50
Thailand,2017,43
Thailand,2018,36
Thailand,2019,55
Thailand,2020,46
Thailand,2021,38
Thailand,2022,30
Nigeria,2004,151
Israel,1997,82
Israel,1998,54
Israel,1999,41
Niger,1991,40
Niger,1992,29
Niger,1997,62
Niger,2007,81
Niger,2008,47
Russia (Soviet Union),2008,404
Russia (Soviet Union),2009,696
Russia (Soviet Union),2010,418
Russia (Soviet Union),2011,359
Russia (Soviet Union),2012,516
Russia (Soviet Union),2013,321
Russia (Soviet Union),2014,173
Mauritania,2010,29
